rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
131,Theta NetworkTHETA,$0.3301,0.37%,1.14%,9.29%,"$330.16M$330,158,223","$57,562,776173.80M",1B THETA,2
132,pippinPIPPIN,$0.3253,0.20%,3.68%,6.20%,"$325.36M$325,359,577","$20,407,92262.50M",999.99M PIPPIN,2
133,DecentralandMANA,$0.1590,1.52%,1.03%,10.67%,"$313.26M$313,259,913","$172,092,3111.07B",1.96B MANA,2
134,Basic Attention TokenBAT,$0.2064,0.19%,0.52%,2.32%,"$308.76M$308,761,844","$32,945,227159.26M",1.49B BAT,2
135,OnyxcoinXCN,$0.008243,1.32%,2.57%,3.90%,"$302.84M$302,836,199","$9,344,5491.12B",36.73B XCN,2
136,RaydiumRAY,$1.11,0.28%,3.33%,5.41%,"$299.25M$299,247,479","$16,337,96114.66M",268.59M RAY,2
137,NeoNEO,$4.00,0.13%,2.00%,1.50%,"$282.18M$282,180,283","$18,512,3334.62M",70.53M NEO,2
138,StableSTABLE,$0.01593,0.73%,2.73%,8.23%,"$280.47M$280,474,794","$154,346,4209.66B",17.6B STABLE,2
139,DeXeDEXE,$3.29,0.43%,0.09%,8.80%,"$275.64M$275,640,633","$4,315,8181.31M",83.73M DEXE,2
140,ArweaveAR,$4.05,0.74%,1.24%,8.07%,"$266.54M$266,542,643","$19,288,8304.75M",65.65M AR,2
141,CompoundCOMP,$26.67,0.09%,1.68%,0.13%,"$265.79M$265,789,239","$16,771,227627.97K",9.96M COMP,2
142,FluidFLUID,$3.33,0.31%,1.77%,10.37%,"$258.88M$258,877,328","$2,744,364821.85K",77.53M FLUID,2
143,HeliumHNT,$1.36,0.28%,1.12%,3.92%,"$255.12M$255,116,818","$2,722,3611.99M",186.32M HNT,2
144,GolemGLM,$0.2540,0.14%,4.23%,13.39%,"$254M$254,001,329","$22,540,95588.57M",1B GLM,2
145,VisionVSN,$0.07274,0.85%,4.59%,17.87%,"$252.07M$252,067,067","$14,420,748198.31M",3.46B VSN,2
146,PlasmaXPL,$0.1399,0.58%,2.82%,14.87%,"$251.86M$251,862,054","$50,220,390358.90M",1.8B XPL,2
147,WalrusWAL,$0.1596,0.88%,0.08%,9.99%,"$251.83M$251,829,753","$14,506,54791.25M",1.57B WAL,2
148,MonadMON,$0.02253,0.71%,1.68%,8.90%,"$244.05M$244,048,597","$58,864,1252.60B",10.83B MON,2
149,THORChainRUNE,$0.6653,0.37%,1.58%,16.27%,"$233.56M$233,562,787","$22,111,19233.20M",351.01M RUNE,2
150,SonicS,$0.08055,0.19%,1.37%,6.14%,"$232.01M$232,012,456","$17,914,265222.30M",2.88B S,2
151,eCashXEC,$0.00001158,0.10%,0.32%,0.80%,"$231.44M$231,442,991","$4,721,774407.40B",19.97T XEC,2
152,Terra ClassicLUNC,$0.00004161,0.11%,2.20%,4.48%,"$227.73M$227,725,631","$11,617,161279.22B",5.47T LUNC,2
